"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"hsa-mir-451a",2622.55221541012,-3.51158364056966,0.193157710050422,1.37900254067627e-74,6.3935572340445e-73
"hsa-mir-452",334.260641354622,-1.11894976670364,0.180704513536182,3.32571711101594e-10,7.74482066948917e-10
"hsa-mir-4521",2.78341680520969,-0.394147858005758,0.177304546978833,0.0236816926954336,0.029314716686095
"hsa-mir-454",27.4519520126188,1.50893541135116,0.110043578900973,3.56817289764519e-43,3.95601777782401e-42
"hsa-mir-455",878.952757255787,1.68181519686617,0.131045539085929,5.14705598235088e-38,4.23386863064347e-37
"hsa-mir-4638",3.53882299995965,2.12551389214618,0.204252047701217,1.89587062599866e-25,8.87058733265427e-25
"hsa-mir-4660",1.34992809447092,0.582045880302119,0.213052265622061,0.00477575949201736,0.00637601398148914
"hsa-mir-4661",12.7411266828967,0.758893429776962,0.16142608272758,1.67826852076487e-06,2.97193383885447e-06
"hsa-mir-4662a",87.7441850128332,0.264540700127549,0.144340327759329,0.064067415076178,0.0759869341601181
"hsa-mir-4664",1.88862006473173,3.32463895309412,0.348028658489273,2.2662205764933e-27,1.19151803506349e-26
"hsa-mir-4668",9.15167271111916,1.28936848861362,0.14597031316397,3.93632626226561e-19,1.43394742411105e-18
"hsa-mir-4677",29.7260011682063,1.39183735189005,0.10415123128725,2.19276077434972e-41,2.19276077434972e-40
"hsa-mir-4709",2.48057147381324,-0.385721845813334,0.146949596529703,0.00767877876536021,0.00988933628872148
"hsa-mir-4714",1.37270369326468,1.19425978260832,0.310556921510863,6.88323965118302e-05,0.000106700675443871
"hsa-mir-4724",2.44630155066489,4.03123749964763,0.410689643575778,1.07966325039478e-26,5.50628257701336e-26
"hsa-mir-4728",6.25588064678257,1.29988411722704,0.184614676023072,0.00543571035734696,0.00716333923061227
